Satellite_data,ndviMedian,ndviStddev,pixelJdateMode,pixelJdateStddev
20-Jul-14,0.874,0.063,202,1.608
28-Jul-14,0.883,0.02,213,0
5-Aug-14,0.858,0.057,222,1.311
13-Aug-14,0.853,0.051,231,0.043
21-Aug-14,0.862,0.062,236,0.621
29-Aug-14,0.841,0.057,247,0.214
6-Sep-14,0.857,0.065,250,0.542
14-Sep-14,0.841,0.055,262,0.491
22-Sep-14,0.795,0.069,266,1.739
30-Sep-14,0.706,0.05,279,0.329
8-Oct-14,0.7,0.051,285,0.393
16-Oct-14,0.623,0.065,293,0
24-Oct-14,0.647,0.066,298,0.399
1-Nov-14,0.639,0.077,307,0
9-Nov-14,0.662,0.074,319,0.096
17-Nov-14,0.607,0.089,323,0.097
25-Nov-14,0.455,0.163,336,1.564
3-Dec-14,0.318,0.133,339,0.288
11-Dec-14,,,,
19-Dec-14,0.284,0.113,354,2.709
27-Dec-14,0.318,0.151,364,47.916
1-Jan-15,0.198,0.121,8,2.603
9-Jan-15,0.205,0.085,10,1.432
17-Jan-15,0.264,0.136,20,1.316
25-Jan-15,0.246,0.093,31,0
2-Feb-15,0.26,0.114,34,0.506
10-Feb-15,0.229,0.075,42,2.2
18-Feb-15,0.192,0.09,49,1.384
26-Feb-15,0.22,0.113,59,0.379
6-Mar-15,0.197,0.101,72,2.904
14-Mar-15,0.178,0.115,77,0.819
22-Mar-15,0.197,0.106,88,2.759
30-Mar-15,0.229,0.111,95,2.294
7-Apr-15,0.443,0.112,104,0.823
15-Apr-15,0.502,0.092,109,0.357
23-Apr-15,0.503,0.067,118,0.245
1-May-15,0.537,0.063,127,0.762
9-May-15,0.721,0.072,134,0
17-May-15,0.798,0.081,143,0.348
25-May-15,0.843,0.058,147,0.997
2-Jun-15,0.845,0.06,154,0.353
10-Jun-15,0.857,0.065,168,0.699
18-Jun-15,0.873,0.076,175,1.031
26-Jun-15,0.861,0.067,184,2.099
4-Jul-15,0.882,0.054,186,1.98
12-Jul-15,0.87,0.054,193,1.195
20-Jul-15,0.87,0.057,202,0.996
28-Jul-15,0.874,0.046,215,2.454
5-Aug-15,0.864,0.056,220,0.341
13-Aug-15,0.884,0.061,228,1.287
21-Aug-15,0.864,0.065,234,0.366
29-Aug-15,0.849,0.066,248,0.59
6-Sep-15,0.843,0.055,252,1.542
14-Sep-15,0.854,0.068,262,0.711
22-Sep-15,0.826,0.076,271,0.27
30-Sep-15,0.769,0.066,276,1.527
8-Oct-15,0.717,0.058,285,0.193
16-Oct-15,0.681,0.062,292,0.105
24-Oct-15,0.649,0.062,299,2.239
1-Nov-15,0.648,0.064,308,0.829
9-Nov-15,0.69,0.07,313,0.348
17-Nov-15,0.615,0.08,328,1.041
25-Nov-15,0.639,0.083,333,0
3-Dec-15,0.612,0.071,339,0.457
11-Dec-15,0.685,0.105,349,0.631
19-Dec-15,0.603,0.082,360,0.533
27-Dec-15,,,,
1-Jan-16,0.22,0.112,4,0.35
9-Jan-16,0.274,0.143,11,0
17-Jan-16,0.191,0.098,20,0.471
25-Jan-16,0.256,0.105,25,0.744
2-Feb-16,,,,
10-Feb-16,,,,
18-Feb-16,,,,
26-Feb-16,0.498,0.085,61,0.687
5-Mar-16,0.502,0.096,66,1.96
13-Mar-16,0.502,0.093,73,2.813
21-Mar-16,0.518,0.078,86,1.623
29-Mar-16,0.232,0.111,96,0.809
6-Apr-16,0.533,0.08,101,0.477
14-Apr-16,0.51,0.079,107,0.33
22-Apr-16,0.537,0.073,116,0.169
30-Apr-16,0.541,0.076,121,0.355
8-May-16,0.584,0.069,132,0.042
16-May-16,0.74,0.085,144,1.883
24-May-16,0.782,0.069,146,1.677
1-Jun-16,0.9,0.039,158,2.164
9-Jun-16,0.846,0.064,166,0.804
17-Jun-16,0.842,0.069,171,0.415
25-Jun-16,0.842,0.069,178,0.332
3-Jul-16,0.869,0.064,187,0.919
11-Jul-16,0.865,0.071,194,0.068
19-Jul-16,0.861,0.063,203,1.964
27-Jul-16,0.866,0.047,216,1.586
4-Aug-16,0.877,0.069,217,1.113
12-Aug-16,0.884,0.048,231,0.447
20-Aug-16,0.873,0.067,233,2.652
28-Aug-16,0.855,0.044,248,1.365
5-Sep-16,0.854,0.068,249,2.799
13-Sep-16,0.838,0.064,260,0.236
21-Sep-16,0.846,0.068,265,0.166
29-Sep-16,0.779,0.058,279,2.01
7-Oct-16,0.764,0.064,281,0.396
15-Oct-16,0.648,0.045,291,1.354
23-Oct-16,,,,
31-Oct-16,0.623,0.074,312,2.669
8-Nov-16,0.631,0.074,313,0.883
16-Nov-16,0.655,0.079,323,0.5
24-Nov-16,0.629,0.057,333,0.327
2-Dec-16,0.646,0.212,338,1.2
10-Dec-16,,,,
18-Dec-16,0.318,0.134,354,0.949
26-Dec-16,0.306,0.148,361,0.421
1-Jan-17,0.184,0.111,5,0
9-Jan-17,0.397,0.171,16,2.5
17-Jan-17,0.514,0.061,17,0
25-Jan-17,0.212,0.099,29,0.848
2-Feb-17,0.209,0.115,39,0.8
10-Feb-17,0.216,0.12,48,2.255
18-Feb-17,0.232,0.106,54,1.941
26-Feb-17,0.471,0.098,64,0.989
6-Mar-17,0.474,0.087,71,1.764
14-Mar-17,0.201,0.094,79,0.958
22-Mar-17,0.19,0.114,82,0
30-Mar-17,0.221,0.1,89,1.36
7-Apr-17,0.502,0.091,100,1.996
15-Apr-17,0.532,0.079,105,1.409
23-Apr-17,0.561,0.064,113,0
1-May-17,0.669,0.03,123,0
9-May-17,0.695,0.062,136,0
17-May-17,0.709,0.065,137,1.075
25-May-17,0.861,0.031,152,2.032
2-Jun-17,0.833,0.055,159,0.379
10-Jun-17,0.849,0.064,166,1.121
18-Jun-17,0.872,0.089,171,0.455
26-Jun-17,0.891,0.036,183,1.34
4-Jul-17,0.873,0.057,186,1.786
12-Jul-17,0.872,0.058,198,1.497
20-Jul-17,0.87,0.055,207,2.207
28-Jul-17,0.877,0.063,212,0.1
5-Aug-17,0.877,0.062,219,0.775
13-Aug-17,0.835,0.052,229,0.392
21-Aug-17,0.856,0.062,233,2.641
29-Aug-17,0.853,0.064,242,1.078
6-Sep-17,0.823,0.053,255,0.593
14-Sep-17,0.804,0.06,260,0.329
22-Sep-17,0.807,0.066,267,0.281
30-Sep-17,0.795,0.071,276,0.097
8-Oct-17,0.709,0.059,285,0.188
16-Oct-17,0.69,0.073,290,1.65
24-Oct-17,0.639,0.069,301,0.072
1-Nov-17,0.632,0.061,312,0
9-Nov-17,0.642,0.079,315,0.453
17-Nov-17,0.702,0.069,325,0
25-Nov-17,0.639,0.083,329,1.725
3-Dec-17,0.638,0.081,338,0.564
11-Dec-17,0.308,0.115,348,0.845
19-Dec-17,0.283,0.133,354,0
27-Dec-17,0.132,0.059,362,1.169
1-Jan-18,0.306,0.127,1,3
9-Jan-18,0.252,0.082,14,1.383
17-Jan-18,0.209,0.083,21,0.5
25-Jan-18,0.319,0.127,26,2.619
2-Feb-18,0.207,0.073,36,0.5
10-Feb-18,0.303,0.129,44,0
18-Feb-18,0.17,0.079,51,0
26-Feb-18,0.279,0.116,58,0.724
6-Mar-18,0.396,0.124,65,0
14-Mar-18,0.209,0.111,79,0.791
22-Mar-18,0.198,0.112,85,0.08
30-Mar-18,0.464,0.125,95,2.376
7-Apr-18,0.462,0.094,101,0.986
15-Apr-18,0.494,0.092,112,0.37
23-Apr-18,0.494,0.076,114,0.327
1-May-18,0.588,0.075,128,0.813
9-May-18,0.669,0.072,133,0.47
17-May-18,0.772,0.068,138,2.881
25-May-18,0.834,0.071,151,0.243
2-Jun-18,0.87,0.064,154,0
10-Jun-18,0.846,0.06,162,0.665
18-Jun-18,0.873,0.065,172,1.719
26-Jun-18,0.874,0.057,177,2.298
4-Jul-18,0.877,0.076,190,0.77
12-Jul-18,0.873,0.073,199,0.848
20-Jul-18,0.862,0.058,201,0
28-Jul-18,0.864,0.059,209,0
5-Aug-18,0.881,0.07,222,1.642
13-Aug-18,0.872,0.045,231,1.862
21-Aug-18,0.877,0.063,238,1.269
29-Aug-18,0.862,0.051,248,0.677
6-Sep-18,0.908,0.045,256,3.5
14-Sep-18,0.86,0.068,259,0.703
22-Sep-18,0.853,0.058,266,1.16
30-Sep-18,0.773,0.037,278,0.113
8-Oct-18,0.71,0.062,287,0
16-Oct-18,0.7,0.05,292,0.3
24-Oct-18,0.667,0.054,299,0
1-Nov-18,0.636,0.079,308,1.357
9-Nov-18,0.626,0.071,315,0.091
17-Nov-18,0.084,0.062,327,0
25-Nov-18,,,,
3-Dec-18,0.212,0.056,338,0
11-Dec-18,0.186,0.088,352,1.5
19-Dec-18,0.575,0.124,357,1.235
27-Dec-18,0.475,0.139,2,179.43
1-Jan-19,0.443,0.152,2,0.38
9-Jan-19,0.284,0.131,13,0.915
17-Jan-19,0.233,0.041,22,0
25-Jan-19,0.136,0.077,31,1.462
2-Feb-19,0.236,0.127,40,1.939
10-Feb-19,0.227,0.096,48,3.233
18-Feb-19,0.23,0.17,53,0
26-Feb-19,0.147,0.138,60,1.262
6-Mar-19,,,,
14-Mar-19,0.194,0.091,79,0.946
22-Mar-19,0.221,0.098,86,0.83
30-Mar-19,0.448,0.108,94,0.406
7-Apr-19,0.455,0.091,101,0
15-Apr-19,0.529,0.075,107,0.154
23-Apr-19,0.577,0.065,119,1.266
1-May-19,0.595,0.064,126,0.401
9-May-19,0.596,0.075,129,0.633
17-May-19,0.726,0.071,142,1.863
25-May-19,0.791,0.066,147,2.4
2-Jun-19,0.847,0.065,158,1.006
10-Jun-19,0.86,0.066,168,0.97
18-Jun-19,0.866,0.058,174,0.415
26-Jun-19,0.869,0.071,177,1.094
4-Jul-19,0.865,0.063,186,1.179
12-Jul-19,0.877,0.071,197,1.478
20-Jul-19,0.886,0.059,207,1.015
28-Jul-19,0.881,0.056,209,1.84
5-Aug-19,0.873,0.066,218,1.682
13-Aug-19,0.869,0.067,227,2.008
21-Aug-19,0.858,0.06,238,1.151
29-Aug-19,0.862,0.07,241,3.256
6-Sep-19,0.839,0.06,250,2.89
14-Sep-19,0.827,0.067,264,0.068
22-Sep-19,0.792,0.062,271,0.042
30-Sep-19,0.773,0.06,278,0
8-Oct-19,0.608,0.043,288,0.954
16-Oct-19,0.662,0.054,292,0
24-Oct-19,0.598,0.041,297,0
1-Nov-19,0.654,0.082,307,0.405
9-Nov-19,0.545,0.095,320,1.682
17-Nov-19,0.587,0.091,327,2.851
25-Nov-19,0.6,0.08,334,0
3-Dec-19,0.253,0.063,341,0.69
11-Dec-19,0.533,0.194,346,2.73
19-Dec-19,0.306,0.15,358,0.49
27-Dec-19,0.275,0.139,2,73.88
1-Jan-20,0.269,0.133,2,0.237
